timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,ex,ey,ez
1748501878206,-949,626,2101,0,-11,0,49,12,-53,46.24282455444336,23.413604736328125,16.576343536376953
1748501878206,-951,625,2102,0,-11,0,49,12,-53,46.24282455444336,23.413604736328125,16.576343536376953
1748501878308,-951,624,2102,0,-11,0,49,12,-53,46.24282455444336,23.413604736328125,16.576343536376953
1748501878308,-951,624,2102,0,-11,0,49,12,-53,46.347999572753906,23.416858673095703,16.56606674194336
1748501878426,-950,625,2101,0,-11,0,49,12,-53,46.347999572753906,23.416858673095703,16.56606674194336
1748501878426,-950,625,2101,0,-11,0,49,12,-53,46.45891189575195,23.430416107177734,16.569900512695312
1748501878531,-950,625,2101,0,-11,0,49,12,-53,46.45891189575195,23.430416107177734,16.569900512695312
1748501878531,-950,625,2101,0,-11,0,49,12,-53,46.56989288330078,23.435911178588867,16.572689056396484
1748501878622,-950,624,2101,0,-11,0,49,12,-53,46.56989288330078,23.435911178588867,16.572689056396484
1748501878622,-950,624,2101,0,-11,0,49,12,-53,46.67835235595703,23.437335968017578,16.55927276611328
1748501878747,-950,625,2102,0,-11,0,49,12,-53,46.67835235595703,23.437335968017578,16.55927276611328
1748501878747,-950,625,2102,0,-11,0,49,12,-53,46.79197311401367,23.426471710205078,16.561389923095703
1748501878846,-950,625,2102,0,-11,0,49,12,-53,46.79197311401367,23.426471710205078,16.561389923095703
1748501878846,-950,625,2102,0,-11,0,49,12,-53,46.90248107910156,23.417556762695312,16.56266212463379
1748501878944,-950,625,2102,0,-11,0,49,12,-53,46.90248107910156,23.417556762695312,16.56266212463379
1748501878944,-950,625,2102,0,-11,0,49,12,-53,47.007076263427734,23.41703987121582,16.55765151977539
1748501879055,-950,625,2102,0,-11,0,49,12,-53,47.007076263427734,23.41703987121582,16.55765151977539
1748501879055,-950,625,2102,0,-11,0,49,12,-53,47.11260986328125,23.416793823242188,16.5556697845459
1748501879160,-950,625,2101,0,-11,0,49,12,-53,47.11260986328125,23.416793823242188,16.5556697845459
1748501879171,-950,625,2101,0,-11,0,49,12,-53,47.21019744873047,23.41762924194336,16.5594539642334
1748501879282,-950,625,2102,0,-11,0,49,12,-53,47.21019744873047,23.41762924194336,16.5594539642334
1748501879282,-950,625,2102,0,-11,0,49,12,-53,47.3190803527832,23.41266632080078,16.56227684020996
1748501879378,-950,625,2102,0,-11,0,49,12,-53,47.3190803527832,23.41266632080078,16.56227684020996
1748501879378,-950,625,2102,0,-11,0,49,12,-53,47.42695617675781,23.41238784790039,16.56521987915039
1748501879486,-950,625,2102,0,-11,0,49,12,-53,47.42695617675781,23.41238784790039,16.56521987915039
1748501879486,-950,625,2102,0,-11,0,49,12,-53,47.53395080566406,23.412307739257812,16.566368103027344
1748501879592,-950,625,2102,0,-11,0,49,12,-53,47.53395080566406,23.412307739257812,16.566368103027344
1748501879592,-950,625,2102,0,-11,0,49,12,-53,47.64057540893555,23.412296295166016,16.566787719726562
1748501879714,-949,625,2101,0,-11,0,48,12,-53,47.64057540893555,23.412296295166016,16.566787719726562
1748501879714,-949,625,2101,0,-11,0,48,12,-53,47.75423049926758,23.398456573486328,16.573558807373047
1748501879807,-950,625,2102,0,-11,0,48,12,-53,47.75423049926758,23.398456573486328,16.573558807373047
1748501879807,-950,625,2102,0,-11,0,48,12,-53,47.845603942871094,23.407989501953125,16.563438415527344
1748501879912,-949,625,2102,0,-11,0,48,12,-53,47.845603942871094,23.407989501953125,16.563438415527344
1748501879912,-949,625,2102,0,-11,0,48,12,-53,47.954383850097656,23.397323608398438,16.56511116027832
1748501880019,-949,625,2102,0,-11,0,48,12,-53,48.06128692626953,23.393199920654297,16.564441680908203
1748501880019,-949,625,2102,0,-11,0,48,12,-53,48.06128692626953,23.393199920654297,16.564441680908203
1748501880114,-950,625,2103,0,-11,0,48,12,-53,48.06128692626953,23.393199920654297,16.564441680908203
1748501880115,-950,625,2103,0,-11,0,48,12,-53,48.15773010253906,23.400732040405273,16.565364837646484
1748501880215,-950,625,2103,0,-11,0,48,12,-53,48.26526641845703,23.40333366394043,16.56401824951172
1748501880215,-950,625,2103,0,-11,0,48,12,-53,48.26526641845703,23.40333366394043,16.56401824951172
1748501880334,-950,625,2101,0,-11,0,48,12,-53,48.26526641845703,23.40333366394043,16.56401824951172
1748501880334,-950,625,2101,0,-11,0,48,12,-53,48.36112594604492,23.410282135009766,16.564125061035156
1748501880451,-950,625,2101,0,-11,0,48,12,-53,48.36112594604492,23.410282135009766,16.564125061035156
1748501880451,-950,625,2101,0,-11,0,48,12,-53,48.46934509277344,23.41852378845215,16.564971923828125
1748501880538,-950,625,2102,0,-11,0,48,12,-53,48.46934509277344,23.41852378845215,16.564971923828125
1748501880538,-950,625,2102,0,-11,0,48,12,-53,48.564640045166016,23.422096252441406,16.56330680847168
1748501880647,-950,625,2102,0,-11,0,48,12,-53,48.564640045166016,23.422096252441406,16.56330680847168
1748501880647,-950,625,2102,0,-11,0,48,12,-53,48.66065216064453,23.421478271484375,16.562442779541016
1748501880740,-950,626,2100,0,-11,0,48,12,-53,48.66065216064453,23.421478271484375,16.562442779541016
1748501880740,-950,626,2100,0,-11,0,48,12,-53,48.76365661621094,23.420066833496094,16.570106506347656
1748501880850,-949,626,2101,0,-11,0,48,12,-53,48.76365661621094,23.420066833496094,16.570106506347656
1748501880850,-949,626,2101,0,-11,0,48,12,-53,48.86553192138672,23.43051528930664,16.572856903076172
1748501880956,-950,625,2101,0,-11,0,48,12,-53,48.86553192138672,23.43051528930664,16.572856903076172
